"id","public_relations"
"1",0.161290322580645
"10",0.134920634920635
"100",0.078125
"1000",0
"1001",0.2
"1002",0.108695652173913
"1003",0.227272727272727
"1004",0.153846153846154
"1005",0.232876712328767
"1006",0.716417910447761
"1007",0.190082644628099
"1008",0
"1009",0.0625
"101",0.0434782608695652
"1010",0
"1011",0.344632768361582
"1012",0.386075949367089
"1013",0.115384615384615
"1014",0.012987012987013
"1015",0.141025641025641
"1016",0.528
"1017",0.333333333333333
"1018",0
"1019",0.0641025641025641
"102",0.161290322580645
"1020",0.206896551724138
"1021",0.102564102564103
"1022",0.204545454545455
"1023",0.180722891566265
"1024",0.169491525423729
"1025",0.157894736842105
"1026",0
"1027",0.145454545454545
"1028",0.0779220779220779
"1029",0.295302013422819
"103",0.0961538461538462
"1030",0.526315789473684
"1031",0.222222222222222
"1032",0.193103448275862
"1033",0
"1034",0.26027397260274
"1035",0.0769230769230769
"1036",0.0229885057471264
"1037",0.184357541899441
"1038",0.323943661971831
"1039",0.181818181818182
"104",0.117647058823529
"1040",0.116666666666667
"1041",0.0675675675675676
"1042",0.218390804597701
"1043",0.0909090909090909
"1044",0.144927536231884
"1045",0.178343949044586
"1046",0.3625
"1047",0.152941176470588
"1048",0.0283018867924528
"1049",0.142857142857143
"105",0.197802197802198
"1050",0.031496062992126
"1051",0.295774647887324
"1052",0.6875
"1053",0
"1054",0.0449438202247191
"1055",0.025
"1056",0.130681818181818
"1057",0.258064516129032
"1058",0.309090909090909
"1059",0.113207547169811
"106",0.120805369127517
"1060",0.108108108108108
"1061",0.385321100917431
"1062",0.213114754098361
"1063",0.225
"1064",0.634146341463415
"1065",0.129032258064516
"1066",0
"1067",0.216216216216216
"1068",0.471337579617834
"1069",0.243589743589744
"107",0.164835164835165
"1070",0.285714285714286
"1071",0
"1072",0.114285714285714
"1073",0.0909090909090909
"1074",0.255474452554745
"1075",0.288288288288288
"1076",0.0108695652173913
"1077",0.457364341085271
"1078",0
"1079",0.154639175257732
"108",0
"1080",0.073394495412844
"1081",0
"1082",0.267716535433071
"1083",0
"1084",0
"1085",0.193548387096774
"1086",0.375
"1087",0.361963190184049
"1088",0.234042553191489
"1089",0.279569892473118
"109",0.269736842105263
"1090",0.108910891089109
"1091",0.428571428571429
"1092",0.184397163120567
"1093",0.023121387283237
"1094",0.122448979591837
"1095",0.125
"1096",0.491525423728814
"1097",0.0784313725490196
"1098",0.24390243902439
"1099",0.0344827586206897
"11",0.461538461538462
"110",0.315315315315315
"1100",0
"1101",0.0740740740740741
"1102",0.125
"1103",0.0754716981132075
"1104",0.373015873015873
"1105",0.422764227642276
"1106",0.169014084507042
"1107",0.23030303030303
"1108",0.0319148936170213
"1109",0.191919191919192
"111",0.268041237113402
"1110",0.111111111111111
"1111",0.118811881188119
"1112",0.246376811594203
"1113",0.179775280898876
"1114",0.192307692307692
"112",0.17910447761194
"113",0.257731958762887
"114",0
"115",0.361702127659574
"116",0.157894736842105
"117",0.133858267716535
"118",0.0650406504065041
"119",0.244274809160305
"12",0.266666666666667
"120",0.243243243243243
"121",0.391304347826087
"122",0.0909090909090909
"123",0.329268292682927
"124",0.258333333333333
"125",0.178082191780822
"126",0.0795454545454545
"127",0.185567010309278
"128",0.0746268656716418
"129",0.539130434782609
"13",0.111111111111111
"130",0.0610687022900763
"131",0.598484848484849
"132",0.373831775700935
"133",0.0670391061452514
"134",0.101694915254237
"135",0.141592920353982
"136",0.0413793103448276
"137",0.176470588235294
"138",0.13953488372093
"139",0.0327868852459016
"14",0.128571428571429
"140",0.148148148148148
"141",0.0782608695652174
"142",0.0720720720720721
"143",0.0683760683760684
"144",0.21875
"145",0
"146",0.558823529411765
"147",0.322222222222222
"148",0.129032258064516
"149",0.139784946236559
"15",0.169491525423729
"150",0.0465116279069767
"151",0.135416666666667
"152",0.264150943396226
"153",0.10752688172043
"154",0.150943396226415
"155",0
"156",0.027027027027027
"157",0.18705035971223
"158",0.109090909090909
"159",0.0296296296296296
"16",0.146853146853147
"160",0.126315789473684
"161",0.153153153153153
"162",0
"163",0.0567375886524823
"164",0
"165",0.337349397590361
"166",0.205128205128205
"167",0
"168",0.226415094339623
"169",0.0869565217391304
"17",0.287671232876712
"170",0.0512820512820513
"171",0.244897959183673
"172",0.130434782608696
"173",0
"174",0.072463768115942
"175",0
"176",0.327272727272727
"177",0.0169491525423729
"178",0.177966101694915
"179",0
"18",0.224
"180",0.26797385620915
"181",0.156626506024096
"182",0
"183",0.130718954248366
"184",0.226415094339623
"185",0.0294117647058824
"186",0.262886597938144
"187",0.245614035087719
"188",0.0579710144927536
"189",0.238095238095238
"19",0.0869565217391304
"190",0.181818181818182
"191",0.382352941176471
"192",0.125
"193",0.206349206349206
"194",0.242937853107345
"195",0.26530612244898
"196",0
"197",0
