"id","market_relations","non_market_relations","fixer"
"1",0,0,0.129032258064516
"10",0.0793650793650794,0.0793650793650794,0.341269841269841
"100",0,0,0.1875
"1000",0,0,0.388235294117647
"1001",0,0,0.116666666666667
"1002",0,0,0
"1003",0,0,0.636363636363636
"1004",0,0,0.146153846153846
"1005",0,0,0.226027397260274
"1006",0,0,0.0597014925373134
"1007",0,0,0.0495867768595041
"1008",0,0,0
"1009",0,0,0
"101",0,0,0.0869565217391304
"1010",0,0,0
"1011",0.169491525423729,0,0.23728813559322
"1012",0.310126582278481,0,0.227848101265823
"1013",0,0.0576923076923077,0.288461538461538
"1014",0,0,0.012987012987013
"1015",0,0,0.102564102564103
"1016",0.128,0,0.08
"1017",0.194444444444444,0,0.288888888888889
"1018",0,0,0.201923076923077
"1019",0,0,0.0897435897435897
"102",0,0,0.10752688172043
"1020",0,0,0
"1021",0,0,0.538461538461538
"1022",0.0909090909090909,0,0.166666666666667
"1023",0,0,0.433734939759036
"1024",0,0,0.296610169491525
"1025",0,0,0.126315789473684
"1026",0,0,0.0615384615384615
"1027",0,0,0.0727272727272727
"1028",0,0,0.441558441558442
"1029",0.161073825503356,0,0
"103",0,0,0.288461538461538
"1030",0,0,0.210526315789474
"1031",0,0.0467836257309941,0.16374269005848
"1032",0.096551724137931,0,0.206896551724138
"1033",0,0,0
"1034",0,0,0
"1035",0.0769230769230769,0,0.192307692307692
"1036",0,0,0
"1037",0.145251396648045,0,0.396648044692737
"1038",0,0,0.225352112676056
"1039",0,0,0.0909090909090909
"104",0.117647058823529,0,0
"1040",0,0,0.183333333333333
"1041",0,0,0.148648648648649
"1042",0.0344827586206897,0,0.333333333333333
"1043",0.0681818181818182,0,0.125
"1044",0,0,0.391304347826087
"1045",0,0,0.229299363057325
"1046",0,0,0.0875
"1047",0,0.0588235294117647,0.188235294117647
"1048",0,0,0.0471698113207547
"1049",0,0,0.119047619047619
"105",0.120879120879121,0,0.0659340659340659
"1050",0,0,0.031496062992126
"1051",0,0,0.471830985915493
"1052",0.136363636363636,0,0.0568181818181818
"1053",0,0,0.202247191011236
"1054",0,0,0.0449438202247191
"1055",0,0,0.15
"1056",0,0,0.0795454545454545
"1057",0,0,0.376344086021505
"1058",0,0,0.0636363636363636
"1059",0,0,0.0943396226415094
"106",0.0671140939597315,0,0.0402684563758389
"1060",0,0,0.162162162162162
"1061",0,0,0.110091743119266
"1062",0.0983606557377049,0,0.221311475409836
"1063",0.0666666666666667,0.0666666666666667,0.1
"1064",0,0,0.390243902439024
"1065",0.0258064516129032,0,0.296774193548387
"1066",0,0,0.432098765432099
"1067",0.135135135135135,0,0
"1068",0,0,0.229299363057325
"1069",0,0,0.0512820512820513
