id,style0,style1
1,0.0008843584637786328,0.9991156415362212
2,0.0,1.0
3,2.937753050346723e-06,0.9999970622469496
4,1.0,1.9619703415918357e-109
5,1.0,8.246807566677705e-42
6,1.0,0.0
7,0.0,1.0
8,4.7314044525922754e-07,0.9999995268595548
9,0.0,1.0
10,0.9999999999995152,4.847110363191552e-13
11,3.627994683806091e-12,0.999999999996372
12,0.9999952252908106,4.774709189323487e-06
13,1.0,0.0
14,1.0,4.405163435496497e-64
15,1.0,1.9553074259969007e-45
16,5.032553013042427e-10,0.9999999994967448
17,0.0,1.0
18,1.0,2.8568205537212044e-49
19,1.0,0.0
20,1.0,0.0
21,5.054118449488069e-17,1.0
22,1.4890385389719333e-11,0.9999999999851096
23,0.0,1.0
24,5.853243597581383e-08,0.999999941467564
25,1.0,0.0
26,1.2841285168314922e-28,1.0
27,0.0,1.0
28,1.4023263850939757e-27,1.0
29,0.0,1.0
30,8.996380005446419e-13,0.9999999999991004
31,1.0778540472886407e-23,1.0
32,1.0,0.0
33,0.0,1.0
34,0.9999999988515068,1.1484930087146567e-09
35,0.0,1.0
36,1.0,0.0
37,1.0,0.0
38,6.852783036418989e-22,1.0
39,0.0,1.0
40,0.0,1.0
41,1.4423614684301692e-07,0.9999998557638532
42,1.577693989303915e-14,0.9999999999999842
43,3.015028936360282e-05,0.9999698497106364
44,1.9522408613867915e-16,0.9999999999999998
45,1.0,6.364701696452663e-83
46,1.0231764865074038e-13,0.9999999999998976
47,0.9999975362243196,2.4637756804109544e-06
48,1.0,3.912150652974184e-44
49,1.0,0.0
50,0.9999827045245014,1.729547549846112e-05
51,0.0,1.0
52,0.0,1.0
53,2.4710629932133847e-26,1.0
54,5.8037945957924216e-05,0.999941962054042
55,1.0,5.174140367991321e-35
56,4.1770563497307615e-09,0.9999999958229436
57,0.0,1.0
58,0.0,1.0
59,0.0,1.0
60,0.9999999999999972,2.668011300159268e-15
61,1.0,5.397730623370724e-19
62,2.175378174390435e-19,1.0
63,1.0,0.0
64,1.0,2.956373170158051e-50
65,0.0,1.0
66,0.007436149255512406,0.9925638507444876
67,1.0,0.0
68,0.0,1.0
69,4.371500606304162e-07,0.9999995628499392
70,0.999999999053404,9.465960439774928e-10
71,2.0690174712659941e-07,0.9999997930982528
72,1.0,1.5047022613201231e-21
73,1.0,0.0
74,1.0,1.346117834499327e-35
75,1.0,3.8965913249139504e-30
76,2.895224442610916e-30,1.0
77,0.0,1.0
78,1.4136652599246632e-21,1.0
79,1.2543493762097858e-36,1.0
80,0.999999999999494,5.060101867391825e-13
81,3.7305127271714884e-06,0.9999962694872728
82,1.3908710161488046e-12,0.9999999999986092
83,7.135698114344064e-18,1.0
84,2.451229263528164e-20,1.0
85,1.0,7.99894634362787e-49
86,1.7503050991018648e-34,1.0
87,1.0,1.1192113297226988e-23
88,1.2651603174935965e-33,1.0
89,1.1846075533363542e-18,1.0
90,1.0,0.0
91,0.0,1.0
92,1.0,1.5870664778859125e-25
93,1.0285928871493145e-13,0.9999999999998972
94,4.3126370310272685e-18,1.0
95,0.0,1.0
96,1.0,0.0
97,1.0761640164656215e-25,1.0
98,1.0,0.0
99,0.0,1.0
100,0.9999999477439612,5.22560388027293e-08
101,0.9999999999994686,5.314445844464274e-13
102,0.9999999524384092,4.756159084868469e-08
103,1.0,7.597122707060073e-25
104,3.833231857253949e-15,0.9999999999999962
105,1.0,0.0
106,1.0,0.0
107,2.4222070026682984e-12,0.9999999999975776
108,0.0,1.0
109,0.0,1.0
110,1.0,0.0
111,7.83533140173937e-36,1.0
112,2.9557164440388094e-15,0.9999999999999972
113,0.0,1.0
114,2.058637554059509e-06,0.9999979413624458
115,0.0,1.0
116,1.0,0.0
117,1.0,8.257020876352971e-42
118,0.0,1.0
119,4.9415982860387325e-61,1.0
120,4.0481945508825176e-07,0.9999995951805448
121,1.3814890159160536e-24,1.0
122,0.0,1.0
123,1.180209204174257e-34,1.0
124,1.0,0.0
125,1.0,0.0
126,1.0,0.0
127,0.9999999727846832,2.721531675624194e-08
128,0.0,1.0
129,6.126957543857712e-43,1.0
130,0.0,1.0
131,5.873618036296742e-38,1.0
132,1.3852188340380766e-12,0.9999999999986148
133,0.0,1.0
134,1.6111922934716301e-49,1.0
135,7.566217529597176e-18,1.0
136,1.0,0.0
137,0.9891653745359046,0.010834625464095471
138,2.5385294805126545e-22,1.0
139,1.0,3.004116043039115e-69
140,1.0,1.6889951723382636e-36
141,0.0,1.0
142,0.0,1.0
143,0.9999997348889694,2.651110305851589e-07
144,3.551635017000427e-05,0.99996448364983
145,3.448234067789525e-15,0.9999999999999964
146,1.13484424492523e-27,1.0
147,0.0,1.0
148,0.0,1.0
149,1.560981052075595e-20,1.0
150,0.9999997314672148,2.685327851004041e-07
151,1.9911170782568181e-35,1.0
152,1.0,1.3491764416321073e-49
153,0.0,1.0
154,0.0,1.0
155,1.5927378288261045e-07,0.9999998407262172
156,1.0,0.0
157,4.6306774115940506e-29,1.0
158,1.0,0.0
159,1.4780902996729743e-64,1.0
160,2.2664989797667307e-29,1.0
161,3.315933941144348e-37,1.0
162,5.781833194113554e-20,1.0
163,0.9999998420679119,1.5793208809385402e-07
164,0.9999964900731236,3.5099268762194113e-06
165,0.0,1.0
166,2.5105663656386342e-18,1.0
167,1.0,0.0
168,0.0,1.0
169,1.469736508603115e-22,1.0
170,1.0,0.0
171,0.0,1.0
172,0.0,1.0
173,1.0,0.0
174,0.9999999999861592,1.384076184576526e-11
175,0.00022823688937525098,0.9997717631106248
176,1.0,0.0
177,0.0,1.0
178,2.3398656689424493e-06,0.999997660134331
179,2.3015416206184876e-73,1.0
180,1.0,5.710601528454657e-41
181,1.0,0.0
182,1.0,6.4646798445170636e-21
183,3.9536970458388844e-21,1.0
184,2.4850417614838155e-09,0.9999999975149584
185,0.0,1.0
186,2.487734812711442e-23,1.0
187,0.0,1.0
188,0.0,1.0
189,1.0,0.0
190,5.651133845308807e-19,1.0
191,0.9950105387714338,0.0049894612285662715
192,0.0,1.0
193,1.0,0.0
194,1.5361284206024148e-07,0.999999846387158
195,2.088874748557619e-28,1.0
196,0.0,1.0
197,1.0,3.3455141632178914e-39
198,1.623161931715032e-39,1.0
199,0.003454258742723149,0.9965457412572768
200,0.9949979645212214,0.00500203547877868
201,2.782123207296386e-44,1.0
202,0.9999997938179392,2.0618206078644663e-07
203,1.0,0.0
204,0.9999999929442362,7.055763758981043e-09
205,1.0,7.33199160489434e-26
206,1.3671807748566414e-15,0.9999999999999988
207,1.7301014027709753e-26,1.0
208,1.6830655738944625e-17,1.0
209,7.100029645466822e-09,0.9999999928999704
210,1.0,1.3861081178019385e-44
211,4.679660687157934e-38,1.0
212,1.7219155982204048e-16,0.9999999999999998
213,5.1615246381457403e-11,0.9999999999483848
214,0.0,1.0
